"","customer_no","invoice_no","invoice_date","sku","sales_count","cash_not_ar","sales_return","unit_cost","sales_unit_price","sales_extended","collection_amount","collection_date","collection_no","shipper_date","shipper_no"
"223","c00003","i00225",2020-03-21,"ZUBSA",19,0,0,27,81,1539,1539,2020-05-26,"r00257",2020-03-24,"s00205"
"224","c00004","i00222",2020-03-21,"SLNEL",13,0,0,36,36,468,468,2020-04-02,"r00134",2020-04-08,"s00248"
"225","c00008","i00223",2020-03-21,"SSBIT",11,0,0,24,72,792,792,2020-07-23,"r00405",2020-04-19,"s00272"
"226","c00007","i00227",2020-03-22,"GEXDT",19,1,0,42,42,798,798,2020-03-22,"r00107",2020-03-24,"s00206"
"227","c00005","i00226",2020-03-22,"SLNEL",19,0,0,36,108,2052,2052,2020-05-24,"r00253",2020-04-01,"s00225"
"228","c00007","i00228",2020-03-23,"ETKQW",17,1,0,34,68,1156,1156,2020-03-23,"r00110",2020-03-27,"s00210"
"229","c00008","i00230",2020-03-23,"TQLMI",11,0,0,30,90,990,990,2020-04-23,"r00177",2020-03-28,"s00213"
"230","c00005","i00229",2020-03-23,"GEXDT",12,0,0,27,27,324,324,2020-04-21,"r00171",2020-03-31,"s00222"
"231","c00009","i00232",2020-03-24,"GEXDT",10,0,0,36,36,360,360,2020-06-25,"r00341",2020-04-24,"s00290"
"232","c00007","i00231",2020-03-24,"SSBIT",15,0,0,35,105,1575,1575,2020-06-29,"r00347",2020-05-02,"s00312"
"233","c00004","i00233",2020-03-25,"ZUBSA",16,1,0,24,72,1152,1152,2020-03-25,"r00113",2020-03-27,"s00211"
"234","c00005","i00235",2020-03-26,"ZUBSA",13,1,0,27,81,1053,1053,2020-03-26,"r00114",2020-03-28,"s00214"
"235","c00006","i00236",2020-03-26,"SLNEL",13,0,0,36,108,1404,1404,2020-04-29,"r00197",2020-03-30,"s00218"
"236","c00008","i00234",2020-03-26,"JRVPC",19,0,0,33,66,1254,1254,2020-04-03,"r00137",2020-04-09,"s00251"
"238","c00009","i00238",2020-03-28,"SLNEL",16,0,0,34,68,1088,1088,2020-07-08,"r00376",2020-04-24,"s00291"
"239","c00005","i00244",2020-03-29,"ETKQW",19,0,0,33,66,1254,1254,2020-06-19,"r00327",2020-03-30,"s00219"
"240","c00005","i00239",2020-03-29,"WBOEC",15,0,0,27,27,405,405,2020-09-06,"r00516",2020-03-31,"s00224"
"241","c00009","i00245",2020-03-29,"SLNEL",6,0,1,27,81,486,486,2020-05-14,"r00232",2020-04-01,"s00226"
"242","c00008","i00241",2020-03-29,"WBOEC",11,0,0,35,105,1155,1155,2020-06-09,"r00301",2020-04-01,"s00227"
"243","c00005","i00243",2020-03-29,"GEXDT",15,1,0,24,72,1080,1080,2020-03-29,"r00121",2020-04-02,"s00229"
"244","c00003","i00240",2020-03-29,"JQWPP",13,0,0,30,90,1170,1170,2020-04-08,"r00145",2020-04-07,"s00243"
"245","c00007","i00242",2020-03-29,"JRVPC",15,0,0,36,36,540,540,2020-06-20,"r00328",2020-04-21,"s00278"
"246","c00005","i00247",2020-03-30,"WBOEC",12,0,0,42,42,504,504,2020-06-01,"r00276",2020-04-04,"s00235"
"247","c00007","i00246",2020-03-30,"GEXDT",9,0,0,36,108,972,972,2020-07-06,"r00369",2020-04-14,"s00256"
"248","c00010","i00250",2020-03-31,"WBOEC",20,1,0,30,90,1800,1800,2020-03-31,"r00127",2020-04-02,"s00230"
"249","c00008","i00251",2020-03-31,"SLNEL",16,0,0,35,105,1680,1680,2020-04-27,"r00189",2020-04-03,"s00233"
"250","c00007","i00248",2020-03-31,"JRVPC",16,0,0,34,68,1088,1088,2020-04-24,"r00181",2020-04-05,"s00239"
"251","c00003","i00249",2020-03-31,"ETKQW",21,0,0,27,27,567,567,2020-06-16,"r00318",2020-04-07,"s00244"
"252","c00005","i00252",2020-04-01,"ZUBSA",12,0,0,36,36,432,432,2020-05-17,"r00239",2020-04-03,"s00234"
"253","c00003","i00253",2020-04-01,"WBOEC",20,0,0,24,72,1440,1440,2020-04-19,"r00167",2020-04-15,"s00261"
"254","c00008","i00254",2020-04-01,"JQWPP",6,0,0,33,66,396,396,2020-04-28,"r00196",2020-04-17,"s00266"
"255","c00001","i00255",2020-04-02,"JQWPP",17,0,0,27,81,1377,1377,2020-04-26,"r00185",2020-04-07,"s00245"
"256","c00005","i00258",2020-04-03,"JRVPC",14,0,0,34,68,952,952,2020-06-24,"r00337",2020-04-04,"s00236"
"257","c00010","i00256",2020-04-03,"JRVPC",13,0,0,36,108,1404,1404,2020-10-09,"r00611",2020-04-04,"s00237"
"258","c00004","i00261",2020-04-03,"ZUBSA",21,0,0,35,105,2205,2205,2020-04-14,"r00159",2020-04-05,"s00240"
"259","c00009","i00259",2020-04-03,"JRVPC",11,0,0,27,27,297,297,2020-09-17,"r00553",2020-04-05,"s00241"
"260","c00004","i00260",2020-04-03,"JRVPC",20,0,0,30,90,1800,1800,2020-05-26,"r00258",2020-04-07,"s00246"
"261","c00008","i00257",2020-04-03,"QWBPM",11,0,0,42,42,462,462,2020-04-22,"r00174",2020-04-19,"s00273"
"262","c00009","i00262",2020-04-04,"JQWPP",14,0,0,36,36,504,504,2020-04-26,"r00186",2020-04-04,"s00238"
"263","c00006","i00263",2020-04-04,"WBOEC",14,0,0,24,72,1008,1008,2020-05-01,"r00200",2020-05-01,"s00307"
"264","c00010","i00266",2020-04-05,"JQWPP",17,0,0,36,108,1836,1836,2020-07-25,"r00413",2020-04-05,"s00242"
"265","c00008","i00265",2020-04-05,"GEXDT",19,1,0,27,81,1539,1539,2020-04-05,"r00142",2020-04-07,"s00247"
"268","c00006","i00268",2020-04-07,"ETKQW",13,0,0,34,68,884,884,2020-08-09,"r00445",2020-04-15,"s00262"
"269","c00006","i00269",2020-04-07,"SLNEL",15,0,0,27,27,405,405,2020-05-12,"r00225",2020-04-17,"s00267"
"270","c00006","i00272",2020-04-08,"WBOEC",11,0,0,36,36,396,396,2020-04-27,"r00190",2020-04-12,"s00253"
"271","c00009","i00270",2020-04-08,"WBOEC",9,0,0,30,90,810,810,2020-06-15,"r00314",2020-04-13,"s00255"
"272","c00009","i00274",2020-04-08,"TQLMI",10,1,0,33,66,660,660,2020-04-08,"r00147",2020-04-14,"s00258"
"273","c00007","i00273",2020-04-08,"SLNEL",11,0,0,24,72,792,792,2020-05-08,"r00216",2020-04-25,"s00295"
"274","c00008","i00271",2020-04-08,"QWBPM",17,1,0,35,105,1785,1785,2020-04-08,"r00146",2020-05-07,"s00325"
"275","c00004","i00275",2020-04-10,"ZUBSA",18,0,0,27,81,1458,1458,2020-06-18,"r00324",2020-04-12,"s00254"
"276","c00009","i00278",2020-04-10,"ETKQW",9,0,0,34,68,612,612,2020-09-17,"r00554",2020-04-17,"s00268"
"277","c00005","i00277",2020-04-10,"SLNEL",13,0,0,42,42,546,546,2020-07-25,"r00414",2020-04-19,"s00274"
"278","c00005","i00276",2020-04-10,"SLNEL",18,1,0,36,108,1944,1944,2020-04-10,"r00152",2020-04-23,"s00289"
"279","c00007","i00281",2020-04-11,"JQWPP",16,0,0,35,105,1680,1680,2020-06-01,"r00277",2020-04-15,"s00263"
"280","c00007","i00282",2020-04-11,"SSBIT",9,0,0,36,36,324,324,2020-08-13,"r00458",2020-04-24,"s00292"
"281","c00009","i00279",2020-04-11,"ZUBSA",19,0,0,27,27,513,513,2020-08-12,"r00452",2020-04-29,"s00303"
"282","c00008","i00280",2020-04-11,"SSBIT",10,1,0,30,90,900,900,2020-04-11,"r00154",2020-05-11,"s00340"
"283","c00004","i00283",2020-04-12,"ETKQW",15,0,0,24,72,1080,1080,2020-04-23,"r00178",2020-04-21,"s00279"
"284","c00001","i00286",2020-04-13,"QWBPM",13,0,0,36,108,1404,1404,2020-06-06,"r00293",2020-04-14,"s00259"
"285","c00006","i00284",2020-04-13,"SSBIT",15,0,0,33,66,990,990,2020-05-27,"r00262",2020-04-21,"s00280"
"286","c00009","i00285",2020-04-13,"JQWPP",17,0,0,27,81,1377,1377,2020-06-14,"r00312",2020-05-01,"s00308"
"287","c00009","i00287",2020-04-14,"JRVPC",15,1,0,42,42,630,630,2020-04-14,"r00160",2020-04-14,"s00260"
"288","c00009","i00288",2020-04-14,"GEXDT",18,0,0,34,68,1224,1224,2020-05-10,"r00219",2020-04-16,"s00264"
"289","c00009","i00289",2020-04-14,"TQLMI",19,0,0,27,27,513,513,2020-06-01,"r00278",2020-04-21,"s00281"
"290","c00008","i00293",2020-04-15,"JRVPC",12,0,0,24,72,864,864,2020-07-08,"r00377",2020-04-17,"s00269"
"291","c00004","i00292",2020-04-15,"SLNEL",16,0,0,36,36,576,576,2020-05-01,"r00201",2020-04-20,"s00277"
"292","c00010","i00290",2020-04-15,"ZUBSA",21,0,0,30,90,1890,1890,2020-06-08,"r00298",2020-04-28,"s00300"
"293","c00004","i00291",2020-04-15,"TQLMI",13,0,0,35,105,1365,1365,2020-06-24,"r00338",2020-05-01,"s00309"
"294","c00005","i00294",2020-04-16,"QWBPM",20,0,0,33,66,1320,1320,2020-04-27,"r00191",2020-04-19,"s00275"
"295","c00004","i00295",2020-04-16,"SSBIT",11,1,0,27,81,891,891,2020-04-16,"r00163",2020-04-21,"s00282"
"296","c00009","i00296",2020-04-16,"JQWPP",17,0,0,36,108,1836,1836,2020-04-25,"r00182",2020-04-22,"s00287"
"297","c00005","i00298",2020-04-17,"JRVPC",21,0,0,34,68,1428,1428,2020-07-13,"r00387",2020-04-17,"s00270"
"298","c00007","i00297",2020-04-17,"QWBPM",12,0,0,42,42,504,504,2020-05-21,"r00246",2020-04-24,"s00293"
"299","c00009","i00300",2020-04-18,"WBOEC",22,0,0,30,90,1980,1980,2020-09-02,"r00510",2020-04-21,"s00283"
"300","c00003","i00301",2020-04-18,"GEXDT",20,1,1,35,105,2100,2100,2020-04-18,"r00164",2020-05-10,"s00338"
"301","c00006","i00299",2020-04-18,"SSBIT",16,0,0,27,27,432,432,2020-10-14,"r00625",2020-05-13,"s00343"
"302","c00007","i00303",2020-04-19,"ETKQW",19,0,0,24,72,1368,1368,2020-05-15,"r00235",2020-04-21,"s00284"
"303","c00006","i00304",2020-04-19,"TQLMI",20,0,0,33,66,1320,1320,2020-12-10,"r00772",2020-04-28,"s00301"
"304","c00007","i00302",2020-04-19,"TQLMI",14,0,0,36,36,504,504,2021-01-31,"r00899",2020-05-02,"s00313"
"305","c00004","i00308",2020-04-20,"ETKQW",15,1,0,34,68,1020,1020,2020-04-20,"r00169",2020-04-21,"s00285"
"306","c00005","i00306",2020-04-20,"SSBIT",18,0,0,36,108,1944,1944,2020-04-26,"r00187",2020-04-24,"s00294"
"307","c00007","i00305",2020-04-20,"WBOEC",10,0,0,27,81,810,810,2020-05-27,"r00263",2020-04-27,"s00298"
"308","c00004","i00307",2020-04-20,"SSBIT",16,1,0,42,42,672,672,2020-04-20,"r00168",2020-04-28,"s00302"
"309","c00007","i00309",2020-04-20,"QWBPM",14,0,0,27,27,378,378,2020-12-14,"r00782",2020-06-18,"s00444"
"310","c00010","i00312",2020-04-21,"SSBIT",19,0,0,36,36,684,684,2020-07-03,"r00359",2020-04-21,"s00286"
"311","c00008","i00311",2020-04-21,"SSBIT",15,1,0,35,105,1575,1575,2020-04-21,"r00172",2020-04-22,"s00288"
"312","c00003","i00310",2020-04-21,"QWBPM",30,0,0,30,90,2700,2700,2020-05-19,"r00244",2020-05-03,"s00316"
"313","c00009","i00313",2020-04-22,"JQWPP",18,0,0,24,72,1296,1296,2020-05-07,"r00211",2020-04-29,"s00304"
"314","c00009","i00315",2020-04-23,"ZUBSA",15,0,0,27,81,1215,1215,2020-05-11,"r00223",2020-05-01,"s00310"
"315","c00010","i00314",2020-04-23,"WBOEC",15,0,0,33,66,990,990,2020-05-17,"r00240",2020-05-02,"s00314"
"316","c00009","i00316",2020-04-23,"QWBPM",11,0,0,36,108,1188,1188,2020-06-05,"r00289",2020-05-06,"s00323"
"317","c00005","i00320",2020-04-24,"SLNEL",9,0,0,30,90,810,810,2020-05-02,"r00202",2020-04-25,"s00296"
"318","c00009","i00318",2020-04-24,"JRVPC",12,0,0,34,68,816,816,2020-06-23,"r00333",2020-04-27,"s00299"
"319","c00009","i00317",2020-04-24,"TQLMI",21,0,0,42,42,882,882,2020-05-10,"r00220",2020-04-29,"s00305"
"320","c00003","i00319",2020-04-24,"TQLMI",14,0,1,27,27,378,378,2020-05-27,"r00264",2020-05-09,"s00331"
"321","c00007","i00322",2020-04-26,"JRVPC",16,0,0,36,36,576,576,2020-09-08,"r00527",2020-05-04,"s00321"
"322","c00005","i00321",2020-04-26,"JRVPC",16,0,0,35,105,1680,1680,2020-06-16,"r00319",2020-05-07,"s00326"
"323","c00007","i00325",2020-04-27,"WBOEC",19,0,0,27,81,1539,1539,2020-05-18,"r00243",2020-05-06,"s00324"
"324","c00009","i00324",2020-04-27,"GEXDT",18,0,0,33,66,1188,1188,2020-06-15,"r00315",2020-05-08,"s00330"
"325","c00004","i00326",2020-04-27,"ZUBSA",18,1,0,36,108,1944,1944,2020-04-27,"r00192",2020-05-14,"s00347"
"326","c00008","i00323",2020-04-27,"JQWPP",20,0,0,24,72,1440,1440,2020-07-20,"r00400",2020-05-15,"s00352"
"327","c00008","i00327",2020-04-28,"QWBPM",11,0,0,42,42,462,462,2020-06-07,"r00296",2020-04-30,"s00306"
"328","c00007","i00328",2020-04-28,"TQLMI",11,0,0,34,68,748,748,2020-05-02,"r00203",2020-05-19,"s00361"
"329","c00009","i00329",2020-04-29,"JQWPP",16,0,0,27,27,432,432,2020-06-21,"r00329",2020-06-01,"s00396"
"330","c00009","i00332",2020-04-30,"TQLMI",15,0,0,36,36,540,540,2020-07-05,"r00366",2020-05-03,"s00317"
"331","c00010","i00333",2020-04-30,"SLNEL",18,0,0,24,72,1296,1296,2020-06-07,"r00297",2020-05-07,"s00327"
"332","c00004","i00331",2020-04-30,"SSBIT",15,0,1,35,105,1575,1575,2020-06-23,"r00334",2020-05-07,"s00328"
"333","c00009","i00330",2020-04-30,"TQLMI",11,0,0,30,90,990,990,2020-08-12,"r00453",2020-05-07,"s00329"
"334","c00005","i00336",2020-05-01,"JRVPC",12,0,1,36,108,1296,1296,2020-05-12,"r00227",2020-05-01,"s00311"
"335","c00004","i00334",2020-05-01,"JRVPC",17,0,0,33,66,1122,1122,2021-01-11,"r00855",2020-05-03,"s00318"
"336","c00004","i00335",2020-05-01,"JQWPP",13,0,0,27,81,1053,1053,2020-05-12,"r00226",2020-05-09,"s00332"
"337","c00006","i00338",2020-05-02,"ETKQW",12,0,0,34,68,816,816,2020-05-24,"r00254",2020-05-02,"s00315"
"338","c00005","i00339",2020-05-02,"ETKQW",14,0,0,27,27,378,378,2020-06-06,"r00294",2020-05-03,"s00319"
"339","c00010","i00337",2020-05-02,"ZUBSA",17,0,0,42,42,714,714,2020-06-22,"r00332",2020-05-03,"s00320"
"340","c00001","i00340",2020-05-03,"JQWPP",10,0,0,30,90,900,900,2020-05-27,"r00265",2020-05-09,"s00333"
"341","c00008","i00341",2020-05-03,"QWBPM",17,0,0,35,105,1785,1785,2020-10-14,"r00626",2020-05-09,"s00334"
"342","c00003","i00342",2020-05-03,"JQWPP",10,0,0,36,36,360,360,2020-05-10,"r00221",2020-05-18,"s00358"
"343","c00009","i00344",2020-05-04,"WBOEC",21,0,0,33,66,1386,1386,2020-11-10,"r00696",2020-05-13,"s00344"
"344","c00007","i00343",2020-05-04,"JRVPC",23,0,0,24,72,1656,1656,2020-05-26,"r00259",2020-05-14,"s00348"
"346","c00009","i00346",2020-05-05,"GEXDT",19,0,0,36,108,2052,2052,2020-06-03,"r00285",2020-05-25,"s00374"
"347","c00006","i00347",2020-05-06,"ETKQW",11,0,0,42,42,462,462,2020-06-15,"r00316",2020-05-09,"s00335"
"348","c00010","i00348",2020-05-06,"JQWPP",19,0,0,34,68,1292,1292,2021-05-04,"r00983",2020-05-13,"s00345"
"349","c00008","i00351",2020-05-07,"QWBPM",19,0,0,35,105,1995,1995,2020-08-05,"r00436",2020-05-09,"s00336"
"350","c00005","i00352",2020-05-07,"JRVPC",11,0,0,36,36,396,396,2020-06-05,"r00290",2020-05-10,"s00339"
"351","c00004","i00349",2020-05-07,"TQLMI",12,0,0,27,27,324,324,2020-07-03,"r00360",2020-05-12,"s00342"
"352","c00010","i00350",2020-05-07,"GEXDT",14,1,1,30,90,1260,1260,2020-05-07,"r00212",2020-06-03,"s00402"
"353","c00005","i00353",2020-05-08,"WBOEC",13,0,0,24,72,936,936,2020-06-11,"r00305",2020-05-09,"s00337"
"354","c00005","i00357",2020-05-09,"GEXDT",22,0,0,42,42,924,924,2020-05-25,"r00255",2020-05-14,"s00349"
"355","c00007","i00354",2020-05-09,"WBOEC",20,0,1,33,66,1320,1320,2020-06-02,"r00282",2020-05-15,"s00353"
"356","c00006","i00355",2020-05-09,"SSBIT",22,0,0,27,81,1782,1782,2020-06-01,"r00279",2020-05-23,"s00368"
"357","c00008","i00356",2020-05-09,"JRVPC",16,0,0,36,108,1728,1728,2020-07-19,"r00397",2020-05-24,"s00373"
"358","c00004","i00363",2020-05-10,"SSBIT",19,0,0,24,72,1368,1368,2020-06-27,"r00344",2020-05-11,"s00341"
"359","c00010","i00360",2020-05-10,"ETKQW",14,0,0,30,90,1260,1260,2020-07-25,"r00415",2020-05-13,"s00346"
"361","c00004","i00362",2020-05-10,"ETKQW",17,0,0,36,36,612,612,2020-08-18,"r00471",2020-05-15,"s00355"
"362","c00001","i00361",2020-05-10,"WBOEC",16,0,0,35,105,1680,1680,2020-07-08,"r00378",2020-05-17,"s00356"
"363","c00008","i00359",2020-05-10,"WBOEC",21,0,0,27,27,567,567,2020-07-06,"r00370",2020-05-18,"s00359"
"364","c00006","i00358",2020-05-10,"SLNEL",17,0,0,34,68,1156,1156,2020-06-17,"r00323",2020-05-26,"s00377"
"365","c00008","i00365",2020-05-12,"SLNEL",7,0,0,27,81,567,567,2020-05-30,"r00271",2020-05-14,"s00350"
"366","c00006","i00366",2020-05-12,"ETKQW",15,1,0,36,108,1620,1620,2020-05-12,"r00228",2020-05-20,"s00362"
"367","c00005","i00367",2020-05-13,"JQWPP",14,1,0,42,42,588,588,2020-05-13,"r00230",2020-05-14,"s00351"
"368","c00004","i00368",2020-05-13,"SLNEL",13,0,0,34,68,884,884,2020-05-30,"r00272",2020-05-18,"s00360"
"369","c00009","i00369",2020-05-14,"WBOEC",20,0,0,27,27,540,540,2020-06-23,"r00335",2020-05-17,"s00357"
"370","c00004","i00370",2020-05-14,"ETKQW",10,1,0,30,90,900,900,2020-05-14,"r00233",2020-06-03,"s00403"
"371","c00003","i00372",2020-05-15,"JRVPC",7,0,0,36,36,252,252,2020-08-07,"r00440",2020-05-21,"s00363"
"372","c00005","i00371",2020-05-15,"GEXDT",14,0,0,35,105,1470,1470,2020-07-31,"r00425",2020-05-22,"s00365"
"373","c00007","i00373",2020-05-15,"SLNEL",18,0,0,24,72,1296,1296,2020-06-02,"r00283",2020-06-01,"s00397"
"374","c00004","i00374",2020-05-15,"SLNEL",17,0,0,33,66,1122,1122,2020-09-01,"r00505",2020-06-04,"s00407"
"375","c00007","i00377",2020-05-16,"GEXDT",21,0,0,42,42,882,882,2020-07-11,"r00382",2020-05-23,"s00369"
"376","c00008","i00376",2020-05-16,"WBOEC",12,0,0,36,108,1296,1296,2020-07-20,"r00401",2020-05-26,"s00378"
"377","c00007","i00375",2020-05-16,"JQWPP",16,0,0,27,81,1296,1296,2020-08-08,"r00442",2020-06-13,"s00433"
"378","c00007","i00378",2020-05-17,"TQLMI",16,0,0,34,68,1088,1088,2020-09-01,"r00506",2020-05-29,"s00388"
"379","c00003","i00380",2020-05-18,"JQWPP",17,0,0,30,90,1530,1530,2020-08-26,"r00492",2020-05-22,"s00366"
"380","c00005","i00379",2020-05-18,"WBOEC",13,0,0,27,27,351,351,2020-07-18,"r00396",2020-05-28,"s00383"
"381","c00004","i00382",2020-05-19,"JRVPC",11,0,0,36,36,396,396,2020-10-16,"r00632",2020-05-22,"s00367"
"382","c00001","i00383",2020-05-19,"JQWPP",14,0,0,24,72,1008,1008,2020-07-23,"r00406",2020-05-27,"s00380"
"383","c00004","i00381",2020-05-19,"ETKQW",14,0,0,35,105,1470,1470,2020-06-16,"r00320",2020-05-29,"s00389"
"384","c00005","i00385",2020-05-20,"GEXDT",16,0,0,27,81,1296,1296,2020-07-31,"r00426",2020-05-21,"s00364"
"385","c00003","i00384",2020-05-20,"JRVPC",12,0,0,33,66,792,792,2020-08-24,"r00487",2020-06-04,"s00408"
"386","c00001","i00391",2020-05-21,"JRVPC",17,1,0,35,105,1785,1785,2020-05-21,"r00247",2020-05-23,"s00370"
"387","c00007","i00386",2020-05-21,"TQLMI",11,0,0,36,108,1188,1188,2020-07-23,"r00407",2020-05-23,"s00371"
"388","c00009","i00387",2020-05-21,"TQLMI",18,0,0,42,42,756,756,2020-06-10,"r00304",2020-05-28,"s00384"
"389","c00007","i00389",2020-05-21,"ZUBSA",27,0,0,27,27,729,729,2020-07-03,"r00361",2020-05-29,"s00390"
"390","c00009","i00388",2020-05-21,"TQLMI",18,0,0,34,68,1224,1224,2020-06-01,"r00280",2020-05-31,"s00393"
"391","c00008","i00390",2020-05-21,"ETKQW",11,0,0,30,90,990,990,2020-07-09,"r00379",2020-05-31,"s00394"
"392","c00005","i00394",2020-05-22,"GEXDT",16,1,0,33,66,1056,1056,2020-05-22,"r00250",2020-05-27,"s00381"
"393","c00004","i00392",2020-05-22,"WBOEC",13,0,0,36,36,468,468,2020-11-13,"r00701",2020-05-27,"s00382"
"394","c00007","i00393",2020-05-22,"WBOEC",8,0,0,24,72,576,576,2020-08-07,"r00441",2020-06-06,"s00413"
"395","c00003","i00397",2020-05-23,"GEXDT",9,0,0,42,42,378,378,2020-12-28,"r00820",2020-05-23,"s00372"
"396","c00006","i00400",2020-05-23,"ETKQW",12,0,0,30,90,1080,1080,2020-06-11,"r00306",2020-05-25,"s00375"
"397","c00004","i00398",2020-05-23,"JRVPC",14,0,0,34,68,952,952,2020-08-27,"r00493",2020-05-25,"s00376"
"398","c00005","i00396",2020-05-23,"WBOEC",24,0,0,36,108,2592,2592,2020-06-28,"r00345",2020-05-26,"s00379"
"399","c00004","i00395",2020-05-23,"JQWPP",9,0,0,27,81,729,729,2020-10-26,"r00654",2020-06-04,"s00409"
"400","c00004","i00399",2020-05-23,"WBOEC",10,0,0,27,27,270,270,2020-06-08,"r00299",2020-06-07,"s00416"
"401","c00009","i00401",2020-05-24,"SLNEL",17,0,0,35,105,1785,1785,2020-07-06,"r00371",2020-05-28,"s00385"
"402","c00007","i00403",2020-05-24,"SLNEL",19,0,0,24,72,1368,1368,2020-06-04,"r00287",2020-05-29,"s00391"
"403","c00007","i00402",2020-05-24,"TQLMI",19,0,0,36,36,684,684,2020-06-25,"r00342",2020-06-18,"s00445"
"404","c00005","i00404",2020-05-25,"SSBIT",11,1,0,33,66,726,726,2020-05-25,"r00256",2020-06-08,"s00418"
"405","c00008","i00405",2020-05-25,"ZUBSA",17,0,0,27,81,1377,1377,2020-06-12,"r00309",2020-06-08,"s00419"
"406","c00004","i00409",2020-05-26,"TQLMI",10,0,0,27,27,270,270,2020-07-01,"r00352",2020-05-28,"s00386"
"407","c00005","i00407",2020-05-26,"ZUBSA",13,0,0,42,42,546,546,2020-09-17,"r00555",2020-05-28,"s00387"
"408","c00009","i00410",2020-05-26,"ZUBSA",18,0,0,30,90,1620,1620,2020-06-09,"r00302",2020-06-01,"s00398"
"409","c00008","i00406",2020-05-26,"TQLMI",8,0,0,36,108,864,864,2020-06-30,"r00350",2020-06-03,"s00404"
"410","c00008","i00408",2020-05-26,"JRVPC",20,0,0,34,68,1360,1360,2020-08-05,"r00437",2020-06-06,"s00414"
"411","c00004","i00411",2020-05-27,"QWBPM",19,0,0,35,105,1995,1995,2020-09-18,"r00559",2020-05-29,"s00392"
"412","c00010","i00413",2020-05-27,"GEXDT",24,0,0,24,72,1728,1728,2020-06-06,"r00295",2020-06-02,"s00400"
"414","c00004","i00414",2020-05-28,"QWBPM",18,0,0,33,66,1188,1188,2020-06-08,"r00300",2020-06-02,"s00401"
"415","c00005","i00415",2020-05-28,"SLNEL",13,0,0,27,81,1053,1053,2020-07-02,"r00356",2020-06-28,"s00470"
"416","c00004","i00418",2020-05-29,"JQWPP",12,1,0,34,68,816,816,2020-05-29,"r00269",2020-06-01,"s00399"
"417","c00008","i00417",2020-05-29,"JQWPP",16,0,0,42,42,672,672,2020-07-16,"r00394",2020-06-03,"s00405"
"418","c00005","i00416",2020-05-29,"ETKQW",15,0,0,36,108,1620,1620,2020-07-16,"r00393",2020-06-09,"s00425"
"419","c00004","i00419",2020-05-30,"QWBPM",15,1,0,27,27,405,405,2020-05-30,"r00273",2020-05-31,"s00395"
"420","c00010","i00421",2020-05-30,"ZUBSA",17,0,0,35,105,1785,1785,2020-08-16,"r00467",2020-06-04,"s00410"
"421","c00009","i00422",2020-05-30,"TQLMI",14,0,1,36,36,504,504,2020-06-04,"r00288",2020-06-08,"s00420"
"422","c00007","i00420",2020-05-30,"JQWPP",18,0,0,30,90,1620,1620,2020-07-06,"r00372",2020-06-08,"s00421"
"423","c00007","i00423",2020-05-31,"QWBPM",19,0,0,24,72,1368,1368,2020-08-21,"r00480",2020-06-03,"s00406"
"424","c00007","i00426",2020-05-31,"ZUBSA",21,0,1,36,108,2268,2268,2020-07-07,"r00374",2020-06-05,"s00411"
"425","c00007","i00425",2020-05-31,"TQLMI",11,0,0,27,81,891,891,2020-07-24,"r00412",2020-06-05,"s00412"
"426","c00003","i00424",2020-05-31,"TQLMI",10,1,0,33,66,660,660,2020-05-31,"r00274",2020-06-18,"s00446"
"427","c00009","i00430",2020-06-01,"ETKQW",16,0,0,30,90,1440,1440,2020-11-10,"r00697",2020-06-07,"s00417"
"428","c00008","i00428",2020-06-01,"QWBPM",13,1,0,34,68,884,884,2020-06-01,"r00281",2020-06-08,"s00422"
"429","c00005","i00427",2020-06-01,"QWBPM",11,0,0,42,42,462,462,2020-11-19,"r00717",2020-06-12,"s00429"
"430","c00004","i00429",2020-06-01,"JRVPC",13,0,0,27,27,351,351,2020-09-01,"r00507",2020-06-23,"s00458"
"431","c00009","i00432",2020-06-03,"SLNEL",15,0,0,36,36,540,540,2020-08-30,"r00502",2020-06-06,"s00415"
"432","c00003","i00431",2020-06-03,"WBOEC",13,0,0,35,105,1365,1365,2020-11-08,"r00689",2020-06-15,"s00436"
"433","c00007","i00435",2020-06-05,"TQLMI",10,0,0,27,81,810,810,2020-07-02,"r00357",2020-06-09,"s00426"
"434","c00007","i00436",2020-06-05,"TQLMI",7,0,0,36,108,756,756,2020-08-28,"r00495",2020-06-11,"s00428"
"435","c00004","i00433",2020-06-05,"ZUBSA",16,0,0,24,72,1152,1152,2020-07-29,"r00423",2020-06-12,"s00430"
"436","c00009","i00434",2020-06-05,"JQWPP",12,1,0,33,66,792,792,2020-06-05,"r00291",2020-06-21,"s00450"
"437","c00008","i00438",2020-06-06,"JRVPC",14,0,0,34,68,952,952,2020-06-18,"r00325",2020-06-12,"s00431"
"438","c00005","i00437",2020-06-06,"WBOEC",18,0,0,42,42,756,756,2021-03-20,"r00966",2020-06-15,"s00437"
"439","c00004","i00439",2020-06-07,"WBOEC",16,0,0,27,27,432,432,2020-06-25,"r00343",2020-06-08,"s00423"
"441","c00009","i00441",2020-06-09,"ETKQW",13,0,0,35,105,1365,1365,2020-08-02,"r00432",2020-06-10,"s00427"
"442","c00008","i00443",2020-06-09,"WBOEC",7,0,0,24,72,504,504,2020-06-13,"r00311",2020-06-16,"s00438"
